frame,object,x_pos
0,chair,776.5011291503906
0,chair,296.55472564697266
0,TV,615.7281494140625
0,TV,878.7073974609375
0,chair,876.6804809570312
0,TV,1105.8381958007812
0,TV,1266.87353515625
0,chair,512.9584350585938
1,chair,776.7891540527344
1,chair,296.4380874633789
1,chair,876.6976318359375
1,TV,615.6957702636719
1,TV,878.68505859375
1,chair,514.3038482666016
1,TV,1105.7727661132812
1,TV,1266.8895263671875
2,chair,777.0047302246094
2,chair,296.3284149169922
2,chair,876.6968994140625
2,TV,615.6237182617188
2,TV,878.6898193359375
2,TV,1105.48388671875
2,chair,514.5594177246094
2,TV,1266.8969116210938
3,chair,776.7601013183594
3,chair,296.2822799682617
3,chair,876.8285522460938
3,TV,615.6515808105469
3,TV,878.7135925292969
3,TV,1105.4509887695312
3,chair,514.5425567626953
3,TV,1266.8748168945312
4,chair,776.6337585449219
4,chair,296.2779312133789
4,chair,877.2923583984375
4,TV,615.6429748535156
4,TV,878.7103881835938
4,TV,1105.4232788085938
4,chair,514.5425720214844
4,TV,1266.8821411132812
5,chair,776.5588989257812
5,chair,296.28528594970703
5,chair,876.8551635742188
5,TV,615.6156311035156
5,TV,878.7156982421875
5,TV,1105.4258422851562
5,chair,514.1672821044922
5,TV,1266.9149169921875
6,chair,776.682861328125
6,chair,296.255126953125
6,chair,877.1793518066406
6,TV,615.5810546875
6,TV,878.7242431640625
6,TV,1105.40966796875
6,chair,514.0806579589844
7,chair,776.7720336914062
7,chair,296.21996307373047
7,chair,876.8713989257812
7,TV,615.6027526855469
7,TV,878.7209167480469
7,TV,1105.4407958984375
7,chair,514.0954132080078
8,chair,777.0317687988281
8,chair,296.3076629638672
8,chair,876.814697265625
8,TV,615.6273498535156
8,TV,878.6705932617188
8,TV,1105.4381103515625
8,chair,513.5886077880859
9,chair,776.8262939453125
9,chair,296.2931594848633
9,TV,615.5908508300781
9,chair,876.8221435546875
9,TV,878.9688720703125
9,TV,1105.4782104492188
9,chair,513.3951416015625
10,chair,776.8533325195312
10,chair,296.31031799316406
10,chair,877.40869140625
10,TV,615.6344299316406
10,TV,878.9489135742188
10,TV,1105.593017578125
10,chair,513.2162780761719
10,TV,1266.96630859375
11,chair,776.9212646484375
11,chair,296.2868194580078
11,chair,876.9952697753906
11,TV,615.6729736328125
11,TV,878.9441528320312
11,TV,1105.5005493164062
11,chair,513.1478576660156
11,TV,1266.9061279296875
12,chair,776.9798278808594
12,chair,296.2688293457031
12,chair,877.3639526367188
12,TV,615.6757202148438
12,TV,878.9249267578125
12,TV,1105.5325927734375
12,chair,513.19384765625
12,TV,1266.9150390625
13,chair,777.1790466308594
13,chair,296.0323791503906
13,chair,877.7103576660156
13,TV,615.6377258300781
13,TV,878.8591918945312
13,TV,1105.7236938476562
13,TV,1266.90283203125
13,chair,513.9972839355469
14,chair,777.4432678222656
14,chair,295.8839340209961
14,chair,877.6103820800781
14,TV,615.5057373046875
14,TV,878.5951538085938
14,TV,1105.8275756835938
14,TV,1266.8831176757812
14,chair,513.1968688964844
15,chair,777.5798645019531
15,chair,295.84358978271484
15,chair,877.8048706054688
15,TV,615.5217895507812
15,TV,878.5989990234375
15,TV,1105.8531494140625
15,TV,1266.8843383789062
15,chair,513.6331481933594
15,TV,1451.4014282226562
16,chair,778.1041259765625
16,chair,295.8314666748047
16,chair,877.9866943359375
16,TV,615.4758605957031
16,TV,878.9050598144531
16,TV,1106.0291748046875
16,chair,511.43882751464844
16,TV,1266.9934692382812
16,TV,1451.2650756835938
17,chair,778.1435852050781
17,chair,295.9148712158203
17,chair,877.975341796875
17,TV,615.4561767578125
17,TV,878.8946838378906
17,TV,1106.1023559570312
17,chair,511.61346435546875
17,TV,1266.9393920898438
17,TV,1450.8342895507812
18,chair,778.0747375488281
18,chair,295.91353607177734
18,chair,877.3255004882812
18,TV,615.4881896972656
18,TV,878.9035034179688
18,TV,1106.1221923828125
18,chair,512.3634338378906
18,TV,1267.053466796875
18,TV,1450.3792114257812
19,chair,778.09716796875
19,chair,295.93199157714844
19,chair,877.6535949707031
19,TV,615.4996032714844
19,TV,878.9087829589844
19,TV,1106.06884765625
19,chair,512.3874359130859
19,TV,1266.841552734375
20,chair,295.8463897705078
20,chair,778.1902770996094
20,chair,877.4192199707031
20,TV,878.9800415039062
20,TV,615.4461364746094
20,chair,514.0088043212891
20,TV,1106.14501953125
20,TV,1266.51123046875
21,chair,778.3733825683594
21,chair,295.8778839111328
21,chair,877.47216796875
21,TV,879.0038452148438
21,TV,615.3593139648438
21,TV,1106.1109619140625
21,chair,514.3843536376953
21,TV,1266.4286499023438
22,chair,778.1095886230469
22,chair,295.84464263916016
22,TV,878.9767456054688
22,chair,877.4389953613281
22,TV,615.4916381835938
22,chair,514.3707275390625
22,TV,1106.1932373046875
