frame,object,x_pos,rotation
75,person3,192.01328,0
76,person1,1136.1377,180
76,person2,517.99176,90
76,person3,190.1297,0
77,person1,1135.373,180
77,person2,518.05554,90
77,person3,189.27832,0
78,person1,1132.7217,180
78,person2,517.9475,90
78,person3,188.91936,0
79,person1,1128.7662,180
79,person2,518.4082,90
79,person3,188.18773,0
80,person1,1127.1582,180
80,person2,518.5284,90
80,person3,187.64677,0
81,person1,1125.4364,180
81,person2,518.27985,90
81,person3,187.27922,0
82,person1,1123.5519,180
82,person2,518.07916,90
82,person3,186.6826,0
83,person1,1121.1047,180
83,person2,518.37585,90
83,person3,186.22913,0
84,person1,1117.2798,180
84,person2,518.0863,90
84,person3,186.33324,0
85,person1,1116.4377,270
85,person2,518.2677,90
85,person3,185.65915,0
86,person1,1113.5659,270
86,person2,518.34375,90
86,person3,186.5303,0
87,person1,1111.8713,270
87,person2,518.198,90
87,person3,185.52927,0
88,person1,1109.769,270
88,person2,518.1035,90
88,person3,185.06297,0
89,person1,1106.4318,270
89,person2,518.12573,90
89,person3,184.64755,0
90,person1,1103.4424,270
90,person2,517.2285,90
90,person3,185.12164,0
91,person1,1098.9254,270
91,person2,517.2185,90
91,person3,185.621,0
92,person1,1098.2017,270
92,person2,516.94226,90
92,person3,185.76605,0
93,person1,1096.0956,270
93,person2,517.11896,90
93,person3,186.38367,0
94,person1,1095.512,270
94,person2,517.1372,90
94,person3,186.56273,0
95,person1,1093.8071,270
95,person2,517.1915,90
95,person3,187.12923,0
96,person1,1092.4144,270
96,person2,517.2245,90
96,person3,187.58488,0
97,person1,1090.2117,270
97,person2,517.3158,90
97,person3,187.59143,0
98,person1,1088.0276,270
98,person2,517.44507,90
98,person3,187.07127,0
99,person1,1086.6307,270
99,person2,517.45044,90
99,person3,187.28119,0
100,person1,1083.7007,270
100,person2,517.3557,90
100,person3,188.04782,0
101,person1,1081.5642,270
101,person2,517.3099,90
101,person3,189.46277,0
102,person1,1080.673,270
102,person2,517.2257,90
102,person3,190.13576,0
103,person1,1079.3335,270
